OBJECTID_12,OBJECTID,OBJECTID_1,FOLIO,NOMBRE,REGION,CUT_R,PROVINCIA,CUT_P,CUT,COMUNA,AN_CAT,N_HOG,FUENTE,OBS,HECTAREAS,Shape_Leng,Shape_Length,Shape_Area
1193,1193,1150,220103,Indígena I,Antofagasta,02,El Loa,022,2201,Calama,CATASTRO_2019,80,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,2.6690563,685.21846734,0.00588695557091119,1.9904838271056e-06
1194,1194,1151,220104,Indígena II,Antofagasta,02,El Loa,022,2201,Calama,CATASTRO_2019,72,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,1.82731803,607.29227643,0.00518973113841297,1.36274191776022e-06
1195,1195,759,730401,El Molino,Maule,07,Curicó,073,7304,Molina,CATASTRO_2022,15,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,0.6435218,708.13595968,0.00556701145626027,4.25025402894744e-07
1196,1196,760,710223,Ignacio Carrera Pinto,Maule,07,Talca,071,7102,Constitución,CATASTRO_2022,14,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,1.19495164,511.1423111,0.00434182906584147,7.86561190528364e-07
1197,1197,761,710215,La Mina 1,Maule,07,Talca,071,7102,Constitución,CATASTRO_2022,26,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.58913457,374.3098531,0.00299280875507561,3.87786809678718e-07
1198,1198,1153,210201,Villa Internacional,Antofagasta,02,Antofagasta,021,2102,Mejillones,CATASTRO_2019,489,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,6.92694067,1207.12794476,0.0104123507051131,5.14151425713716e-06
1199,1199,762,710228,La Mina 2,Maule,07,Talca,071,7102,Constitución,CATASTRO_2022,22,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,0.33104717,280.47602228,0.0022479395493722,2.17905837597536e-07
1200,1200,1154,220301,El Carmen,Antofagasta,02,El Loa,022,2203,San Pedro de Atacama,CATASTRO_2019,77,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,4.18954823,1109.58318921,0.00958377260706104,3.11441457138196e-06
1201,1201,763,710216,Los Molinos,Maule,07,Talca,071,7102,Constitución,CATASTRO_2022,23,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.64388564,453.0963441,0.00354686350446693,4.23832076840366e-07
1202,1202,1155,220302,Lickanantay 2018,Antofagasta,02,El Loa,022,2203,San Pedro de Atacama,CATASTRO_2019,140,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,25.45793842,2543.41381435,0.0216048162310496,1.89253337200919e-05
1203,1203,764,710224,Pangalillo Km4,Maule,07,Talca,071,7102,Constitución,CATASTRO_2022,8,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,0.43550279,437.43760722,0.00340947220331562,2.86631571290414e-07
1204,1204,765,730105,Santos Martinez,Maule,07,Curicó,073,7301,Curicó,CATASTRO_2022,14,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.26697742,245.2533598,0.00196468613225284,1.76489400952924e-07
1205,1205,1156,210401,Cerro La Cruz,Antofagasta,02,Antofagasta,021,2104,Taltal,CATASTRO_2019,14,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,1.5648872,623.62371864,0.0053083802458508,1.14069941800395e-06
1206,1206,766,710221,Terreno Efe,Maule,07,Talca,071,7102,Constitución,CATASTRO_2022,28,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,0.97622752,582.43705295,0.00475725228880309,6.42639404822093e-07
1207,1207,1157,210402,Luchando Por Nuestro Hogar,Antofagasta,02,Antofagasta,021,2104,Taltal,CATASTRO_2019,137,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,8.27957953,2332.86716343,0.0197874577200157,6.0353216209277e-06
